concatenated,parisian_keyword
"Certain Other Swiss editions Monsieur Guillaume, ou Le Disputeur Guillaume; Guillaume ou le Disputeur; M. Guillaume NA NA French NA NA London Geneva 1781 NA NA NA 1 NA NA 2.5 NA Attribution - sourced from Geneva in 1781. Monsieur Guillaume, ou Le Disputeur  ",Belles-Lettres
"Probable French editions Henri IV, drame lyrique en 3 actes et en prose, par M. de Rozoy [Versailles, les Comédiens italiens, 16 décembre 1774.] Henry IV NA NA French Vente NA Paris Paris 1774 NA IV, 78 82 1 NA 8 5 NA Attribution - first edition, sourced from Paris in 1774 to act as the source copy for STN's own edition. Henri IV, drame lyrique en 3 actes et en prose  ",Belles-Lettres
"Probable Other Swiss editions Hochets (les) moraux, ou Contes pour la première enfance, par M. Monget 656; Hochets; Hochets moreaux; Hochets par Monget; Hochett moreaux NA NA French NA NA Paris Geneva? 1782 NA NA NA 2 NA 12 4 NA Attribution - STN Catalogue 1785, Fauche-Borel Catalogue (1787) and MS1007 all state (Paris, 1782), but this edition has not been located, and transactions data suggest it was almost certainly published in Geneva, probably by Chirol. Hochets (les) moraux  ",Belles-Lettres
"Pseudo Place of publication unknown Journal de physique, de chimie, d'histoire naturelle et des arts 719; 720; 721; 722; 723; 724; 725; Journal de Physique NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA 220 NA Attribution - periodical, individual volumes traded in not consistently identifiable in manuscript information. Journal de physique, de chimie, d'histoire naturelle et des arts  ",Belles-Lettres
"Pseudo Place of publication unknown Intolérance (l') ecclésiastique, ou Les malheurs d'un hétérodoxe/La vie et les opinions de maître Sébaltus Nothanker Intolerance eclesiastique; Tolérance ecclesiastique Wilhelmine: ein prosaisch-komisches Gedicht / Das Leben und die Meinungen des Herrn Magister Sebaldus Nothanker German French NA Société Typographique de Neuchâtel n.pl. Neuchâtel NA NA NA NA 1 NA NA 43 NA Attribution - edition details not resolved. Intolérance (l') ecclésiastique  ",Belles-Lettres
"Pseudo Place of publication unknown Sophonisbe (la), tragédie de Mairet Sophonisbe; Sophonisme; Sophoniste NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA 4 NA Attribution - edition not identified, several produced from 1770. Sophonisbe (la), tragédie de Mairet  ",Belles-Lettres
Probable Other Swiss editions Satyres (les) de Perse avec des notes 1218; Satires de Perse; Satyres de Perse [Satires] Latin French NA NA Berne Berne 1765 NA NA NA 1 NA NA 20 NA Attribution - sourced from Berne. Satyres (les) de Perse  ,Belles-Lettres
Pseudo Place of publication unknown [Grammatica Grecca] Grammaire greque; Grammatica Grecca NA NA Greek NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - work not identified. [Grammatica Grecca]  ,Belles-Lettres
"Certain Other Swiss editions Fatalisme (le), ou Collection d'anecdotes, pour prouver l'influence du sort sur l'histoire du coeur humain Fatalisme; Fatalité NA NA French NA F.-B. de Felice Yverdon Yverdon 1769 NA XVI, 125, [3 bl.]; 147, [1, 2 bl.] 288 2 NA 8 NA NA Attribution - sourced from Société Typographique de Berne. Fatalisme (le)  ",Belles-Lettres
Pseudo Place of publication unknown [Dictionnaire françois et italien] Dictionnaire françois & Italien; Dictionnaire Italien; Dictionnaire italien et francois NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - work not identified. [Dictionnaire françois et italien]  ,Belles-Lettres
"Pseudo Place of publication unknown Histoires choisies des auteurs profanes = Selectae è profanis scriptoribus historiae 1471; 655; selecta e Profani; Selectae Profanis Selectae e profanis scriptoribus historiae Latin French, Latin NA NA n.pl. ? NA NA NA NA 1 NA NA 11, 17 NA Attribution - editions not identified. STN traded in at least two editions of the work, Fauche-Borel Catalogue (1787) gives (item no.1471) 'Selectae è profanis scriptoribus historiae' Parisiis 1775, and (no. 655) 'Histoires choisies des auteurs profanes' (Bâle) in-12°, 2 volumes. It has not always been possible from STN manuscripts to isolate which transactions relate to which editions, although almost all sales appear from manuscript titles to have been the Latin edition. Histoires choisies des auteurs profanes  ",Belles-Lettres
"Pseudo Place of publication unknown [Vocabulaire français] Vocabulaire; Vocabulaire français NA NA French NA NA n.pl. ? NA NA NA NA 2 NA 8 NA NA Attribution - work not identified, transactions data suggests possibly produced in Lyon in 1772. [Vocabulaire français]  ",Belles-Lettres
"Certain Other Swiss editions Poesie del sig. Alberto Haller, tradotte in versi italiani dal sig. A. S. Poésie del Hallero; Poesie dell’ signor hallero [An original edition / title for this work has not been identified] German Italian NA NA Yverdon Yverdon 1768 NA XV, 174 189 1 NA 16 24 NA Attribution - sourced from the Société Typographique de Berne. Poesies de M. Haller  ",Belles-Lettres
Certain French editions Dictionarium latino gallicum 1452; Dictionarum Latino Gallicum NA NA Latin Car. Steph NA Lutetiae Paris 1552 NA NA NA 1 NA Folio NA NA Attribution - Fauche-Borel Catalogue (1787) information. Dictionarium latino gallicum  ,Belles-Lettres
"Pseudo Place of publication unknown Essai sur l'homme Essai sur l'homme; Essay sur l’homme de Pope; Essay sur l'homme de Pope An Essay on Man  English French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - editions not identified, numerous produced. Manuscript information indicates STN traded in-12° and in-4° editions. Essai sur l'homme  ",Belles-Lettres
"Pseudo Place of publication unknown Fables orientales de M. de S. Lambert Fables orientales NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, several produced. Sourced from Lausanne, so possibly the (Lausanne, 1770) edition produced by François Grasset. Fables orientales  ",Belles-Lettres
"Pseudo Place of publication unknown Fables et contes de Gellert Fables et contes de Getterh? NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, numerous produced. Fables et contes de Gellert  ",Belles-Lettres
"Probable Place of publication unknown Epître à Horace Epitre à Horace NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, several produced. Epître à Horace  ",Belles-Lettres
"Certain Other Swiss editions Homme (l') au latin, ou la Destinée des savants, histoire sans vraisemblance  homme (l') au Latin; l'homme au Latin NA NA French John Nourse François Grasset London Lausanne 1769 NA 110 110 1 NA 8 NA NA Attribution - sourced from François Grasset. Homme (l') au latin  ",Belles-Lettres
Pseudo Place of publication unknown Fabulae Aesopi & Phaedri selectae fabula Æsopi & Phædri selecta NA NA Latin NA NA n.pl. ? NA NA NA NA 1 NA NA 5 NA Attribution - edition not identified. Fabulae Aesopi & Phaedri selectae  ,Belles-Lettres
"Pseudo Place of publication unknown Atrium latinitatis, ou recueil de mots latins à l'usage des écoliers Atrium latinitatis Recueil de mots latins NA NA French, Latin NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, no edition from this period has been located. Earliest surviving edition from this period printed in 1790 by Caille. Source information suggests this a previous Caille, Geneva edition now lost. Atrium latinitatis  ",Belles-Lettres
"Certain Other Swiss editions République (la) littéraire, ou Description allégorique et critique des sciences et des arts, ouvrage posthume de Dom Diego Saavedra Fajardo... traduit de l'espagnol, sur l'édition la plus correcte, publiée à Madrid en 1735, présenté au public par les soins et aux dépens du libraire Republique littéraire; République littéraire Repvblica literaria Spanish French François Grasset NA Lausanne Lausanne 1770 NA XXIV, 162  186 1 NA 12 7 NA Attribution - sourced from Lausanne, only extant edition located. République (la) littéraire  ",Belles-Lettres
"Pseudo Place of publication unknown Eugénie: drame  Eugenie drame NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA 9.5 NA Attribution - edition not identified, numerous produced. Eugénie  ",Belles-Lettres
Pseudo Place of publication unknown [Magasin de adollesçantes] 833; Magasin de adollesçantes NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition details not resolved. Magasin des adollesçantes  ,Belles-Lettres
"Pseudo Place of publication unknown Chef (le) d'oeuvre d'un inconnu Chef d'Oeuvre d'un Inconnu; mathanasius NA NA French NA NA n.pl. ? NA NA NA NA 2 NA 8 42 NA Attribution - edition(s) not identified, several produced. Chef (le) d'oeuvre d'un inconnu  ",Belles-Lettres
"Pseudo French editions Américaines (les), ou La Preuve de la religion chrétienne par les lumières naturelles Americaines (les); Les Americaines NA NA French NA NA Lyon Lyons 1770-1771 NA NA NA 6 NA 12 88.75 NA Attribution - either the (Lyon, 1770) or (Lyon, 1771) editions. Américaines (les)  ",Belles-Lettres
"Certain Other Swiss editions Conseils pour former une bibliothèque historique de la Suisse, par M. Haller Conseils pour former une Bibliothêque NA NA French Société Typographique de Berne NA Berne Berne 1771 NA VI, 168 174 1 NA 8 11 Could be Haller 'Conseils pour former une Bibliothêque historique de la Suisse' or Formey 'Conseils pour former une bibliothèque peu nombreuse mais choisie' Attribution - sourced from Société Typographique de Berne, only extant edition located. Conseils pour former une bibliothèque historique de la Suisse  ",Belles-Lettres
"Certain Other Swiss editions Contes moraux et nouvelles idylles de D… et Sal. Gessner 228; Contes & Idiles de Gesner; Contes de Gesner; Contes de Gesner et Diderot; Contes moraux et mouvelle idylles de D*** & sal. Gessner Neue Idyllen German French NA J. P. Heubach London Lausanne 1773 NA [6], 230, [2 bl.] 236 1 NA 12 10 NA Attribution - MS1007, catalogue and manuscript information. Contes moraux et nouvelles idylles  ",Belles-Lettres
"Certain Other Swiss editions Supplément à la Bibliothèque de campagne, ou amusements de l'esprit et du coeur Bibliothèque de campagne; supplement a la Bibliotheque; Supplement a la Bibliotheque Campagne NA NA French NA NA Geneva Geneva 1761 NA NA NA 7 NA 12 131 NA Attribution - only extant edition located.   N.B. After MS1030 f.76, two copies of the first 2 volumes of this work were sourced separately from Lyon in July 1774 under the title 'romans moraux'. Of the 6 copies sent out after this date, it has not been possible to identify which two belonged to this edition. Supplément à la bibliothèque de camapagne  ",Belles-Lettres
"Probable French editions Principes de la grammaire, ou rudimens nouveaux de la langue latine, par le P. Godin 1109; Principes de la Grammaire Latine NA NA French NA NA Bordeaux Bordeaux NA NA NA NA 1 NA 12 3 NA Attribution - Fauche-Borel Catalogue (1787) information. Principes de la grammaire, ou rudimens nouveaux de la langue latine  ",Belles-Lettres
"Pseudo Place of publication unknown Mathurini Corderii Colloquia selecta Corderii Colloquia; maturin cordier NA NA Latin NA NA n.pl. ? NA NA NA NA 1 NA 12 10 NA Attribution - edition(s) not identified, several produced. Mathurini Corderii Colloquia selecta  ",Belles-Lettres
"Pseudo Place of publication unknown Histoire d'Emilie Montague Emelie; Emelie Montaigu; Histoire d’Emilie Montaigu The history of Emily Montague English French NA NA n.pl. ? 1770 NA NA NA 2 NA 12 34 NA Attribution - edition not identified. Possible editions located (Paris, 1770) and (Amsterdam, 1770). Histoire d'Emilie Montague  ",Belles-Lettres
"Certain Other Swiss editions Epistolae ab eruditis viris ad Alb. Hallerum scriptae 1458; Halleri Epistolæ NA NA Latin NA NA Berne Berne 1773-1775 NA NA NA 1 NA 8 56 NA Attribution - Fauche-Borel Catalogue (1787) information, sourced from Société Typographique de Berne from 1773.  Edition was in 6 volumes, however volume information could not be consistently identified in STN manuscripts. Epistolae ab eruditis viris  ",Belles-Lettres
"Certain German editions Histoire des diables modernes. Par Mr. A*** Histoire des diables; Histoire des diables modernes; Histoire des diables modernes, par M. A*** NA NA French J.G. Bærstecher NA Cleves Cleves 1771 NA 221 221 1 NA 8 14 NA Attribution - sourced from  Baerstecher in Cleves, only extant edition he published. Histoire des diables modernes  ",Belles-Lettres
"Certain Place of publication unknown Jeune (le) philosophe, ou Lettres de Florival et de Sophie Jeune (le) philosophe, ou lettres amoureuses de Florival et de Sophie; Jeune philosophe NA NA French NA NA n.pl. ? 1774 NA [6], 264 270 1 NA 12 12 NA Attribution - only extant edition located, sheet information. Jeune (le) philosophe  ",Belles-Lettres
"Certain Other Swiss editions Monialisme, histoire galante, écrite par une ex-religieuse de l'abbaye où se sont passées les aventures.. Monialisme NA NA French aux dépens des couvens NA Rome Geneva? 1775 NA IV, 324 330 1 NA 12 NA 200 received from Nouffer fev1777 Attribution - only extant edition located. Monialisme, histoire galante  ",Belles-Lettres
"Pseudo Place of publication unknown Parnasse (le) libertin, ou recueil de poésies libres parnasse; Parnasse libertin NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA 12 NA Attribution - edition not identified, several produced. Parnasse (le) libertin  ",Belles-Lettres
"Pseudo Place of publication unknown Poésies gaillardes, galantes et amoureuses de ce temps Poésie de Galliarde; Poésies (les) gaillardes, galantes et amoureuses de ce temps NA NA French NA NA n.pl. ? NA NA NA NA 2 NA NA 24 NA Attribution - edition not identified. Poésies gaillardes  ",Belles-Lettres
"Certain Other Swiss editions Soirees (les) de quelques religieuses, de l'abbaye de *** 1258; Soirées de quelques religieuses; Soirées des religieuses NA NA French Léonard Pellet NA Geneva Geneva 1786 NA 220 220 1 NA 8 NA NA Attribution - only extant edition located, catalogue information. Soirees (les) de quelques religieuses  ",Belles-Lettres
"Certain French editions Abrégé de la grammaire française par Wailly 8; abregé de Vailly NA NA French NA NA Paris Paris 1785 NA NA NA 1 NA 12 NA NA Attribution - details as given in Fauche-Borel Catalogue (1787), although extant copies of this edition have not been located.   Abrégé de la grammaire française par Wailly  ",Belles-Lettres
"Probable Belgian editions Aventures (les) galantes de quelques enfants de Loyola. Sur l'imprimé au Paraclet, 1782 Avanture galentes; Aventures de Loyola; Aventures galantes de Loyola NA NA French NA NA Bruxelles Brussels 1782 NA NA NA 1 2 8 NA NA Attribution - only extant edition located. Aventures (les) galantes de quelques enfants de Loyola  ",Belles-Lettres
"Certain Dutch editions Amusemens du beau-sexe, ou Nouvelles Historiques et avantures galantes, tragiques, et comiques Amusement du beau sexe NA NA French Jean Schreuder NA Amsterdam Amsterdam 1773-1774 NA NA NA 8 NA 12 NA NA Attribution - only extant edition in 8 volumes located. Amusemens du beau-sexe  ",Belles-Lettres
"Certain French editions A quoi sert un titre, si l'ouvrage est bon? 1; A quoi sert un titre; A quoi sert un titre si l'ouvrage est bon NA NA French Chez l'imprimeur de l'âne promeneur NA Paris Paris 1787 NA 40 40 1 NA 8 NA Sourced from Mourer in Lausanne three times in 1787, suggesting this clear false imprint possibly came from his presses. Attribution - edition details given in manuscript information and Fauche-Borel Catalogue (1787).   A quoi sert un titre, si l'ouvrage est bon?  ",Belles-Lettres
"Certain Place of publication unknown Anti-Chartreux (l'): Poême Chrétien 75; Anti-Chartreux NA NA French NA NA n.pl. ? 1786 NA 63 63 1 NA 8 NA NA Attribution - only extant edition located, Fauche-Borel Catalogue (1787) gives only date of publication and format. Anti-Chartreux (l')  ",Belles-Lettres
"Pseudo Place of publication unknown Agar dans le desert, comédie Agar dans le Desert NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified. Work was contained within the 'Théatre de Genlis' and may have been separated from there and sold alone. Agar dans le desert  ",Belles-Lettres
"Certain Place of publication unknown Amitié fraternelle, ou Le Triomphe des vertus 46; Amitié fraternelle NA NA French NA NA n.pl. ? 1785 NA NA NA 2 NA 12 NA NA Attribution - Fauche-Borel Catalogue (1787), although place of publication and author unknown. Amitié fraternelle  ",Belles-Lettres
Probable Place of publication unknown Année galante ou Etrenne à l'amour. Contes! Enrichis de figures et d'ariettes 1491; Année galante; Années galantes NA NA French NA NA n.pl. ? NA 1773 NA NA 1 NA 8 NA NA Attribution - Fauche-Borel Catalogue (1787). Année galante ou Etrenne à l'amour  ,Belles-Lettres
"Pseudo Place of publication unknown Ami de l'adolescence 40; 41; Ami de l'adolescence NA NA French NA NA n.pl. ? NA NA NA NA 2 NA NA NA NA Attribution - the STN sold multiple editions under this title. Moreover, 'L'Ami de l'adolescence' was often bundled and sold together with 'L'Ami des enfans', and in some of these instances they were accounted for together under a single title as 'L'Ami des enfans & adolescence.' Where this has occured, sales have been recorded in the database against both superbooks, i.e. 'L'Ami des enfans' and 'L'Ami de l'adolescence'. See also 'Ami des enfans'. Fauche-Borel Catalogue (1787) lists an edition of 'L'Ami de l'adolescence' in 4 volumes (Geneva 1786). However, as editions have been impossible to disagregate, all sales are assumed to be of 2 volume editions. Ami de l'adolescence  ",Belles-Lettres
"Certain French editions Arlequin à Genève: comédie en vers libres et en trois actes, par M. P. G. auteur du baquet magnétique 81; Arlequin; Arlequin à Geneve NA NA French NA NA Lyon Lyons 1785 NA [2], 86 88 1 NA 8 NA NA Attribution - only extant edition located, Fauche-Borel Catalogue (1787) information Arlequin à Genève  ",Belles-Lettres
"Certain Other Swiss editions Antonie, ou l'auteur de Caroline, suivie de plusieurs pieces intéressantes, traduites de l'allemand, par Madame la chanoinesse de P. 76; Antoine Bagatellen von Anton Wall? German French Mourer cadet NA Lausanne; Paris Lausanne 1787 1786 237 237 1 NA 12 NA NA Attribution - Fauche-Borel Catalogue (1787), sourced from Mourer and Fauche. Antonie, ou l'auteur de Caroline  ",Belles-Lettres
Certain German editions Adieux de soeur Rose à son cloître adieux de soeur Rose; adieux de soeur Rose à son cloitre NA NA French Noble de Trattner NA Vienna Vienna 1784 NA 68 68 1 NA 12 NA NA Attribution - only extant edition located. Adieux de soeur Rose à son cloître  ,Belles-Lettres
"Pseudo Place of publication unknown Bagatelles morales Bagatelle morale; Bagatelle morale de l'abbé Coyer; Bagatelles morale NA NA French NA NA n.pl. ? NA NA NA NA 1 NA 12 28 NA Attribution - edition not identified, several produced. Bagatelles morales  ",Belles-Lettres
"Certain Other Swiss editions Bibliothèque ou Choix des meilleurs romans anglois 125; Bibliotheque angloise The History of Amelia; Joseph Andrews; The Life of Jonathan Wild; Tom Jones, a Foundling; A Journey from this World to the Next; The Adventures of Roderick Random; The  Adventures of David Simple English French Nouffer, de Rodon & cie NA Geneva Geneva 1781-1782 NA XI, 342; 339; 352; [2], I-XXX, 31-300; [2], 256; XV, [1 bl.], 365, [1 bl.]; ?; ?; ?; 249; 398; 356; [2], 238; [2], 249, [1 bl] NA 14 NA 12 NA NA Includes The History of Amelia; Joseph Andrews; The Life of Jonathan Wild; Tom Jones, a Foundling; A Journey from this World to the Next; The Adventures of Roderick Random; The  Adventures of David Simple. Edition appeared as 'Oeuvres de Fielding' and 'Bibliothèque angloise'. Works also sold as separate editions.  Roderick Random by Smollett rather than Fielding.  Attribution - sourced from Nouffler. Bibliothèque ou Choix des meilleurs romans anglois / Oeuvres de Henry Fielding  ",Belles-Lettres
Pseudo Place of publication unknown [Belle (la) et la Bête] Belle (la) & la Bête NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - work not identified. Could possibly be the version by Madame de Genlis taken from her 'Théatre à l'usage des jeunes personnes' or that by Gabrielle-Suzanne Barbot Gallon de Villeneuve taken from the 'Cabinet des fées'. But several other possible title matches exist. MS 1007 gives no further information to the title. [Belle (la) et la Bête]  ,Belles-Lettres
"Pseudo Place of publication unknown Confessions (les) de M. Emanuel Figaro, écrites par lui-même 1514; Confession de Figaro NA NA French NA NA n.pl. ? NA NA NA NA 1 NA 12 NA NA Attribution - manuscript and catalogue shows STN traded in (London, 1786) edition and a (1787) edition. It has not always been possible from STN manuscripts to isolate which transactions relate to which editions. Confessions (les) de M. Emanuel Figaro  ",Belles-Lettres
"Pseudo Place of publication unknown Portefeuille (le) de madame Gourdan, dite la Comtesse, pour servir à l'histoire des moeurs du siècle et principalement de celles de Paris Correspondance de la Gourdan; Correspondance de Mad. Gourdan NA NA French NA NA n.pl. ? NA NA NA NA 1 NA 8 NA NA Attribution - edition(s) not identified, several produced.  N.B. Burrows, 'A King's Ransom', (p. 152), casts doubt on standard attribution to  Charles Théveneau de Morande. Later editions contain extra material and were probably the work of several hands. Portefeuille (le) de madame Gourdan  ",Belles-Lettres
"Certain Place of publication unknown Contes nouveaux en prose 235; Contes moraux en prose; Contes nouveaux; Contes nouveaux en prose NA NA French NA NA n.pl. ? 1785 NA 262, 258 520 2 NA 12 NA NA Attribution - Fauche-Borel Catalogue (1787) information. Contes nouveaux en prose  ",Belles-Lettres
"Pseudo Place of publication unknown Capucins (les) sans barbe, histoire Napolitaine 147; Capucins sans barbe NA NA French NA NA n.pl. ? NA NA NA NA 1 NA 8 NA NA Attribution - edition's not identified, several produced. Fauche-Borel Catalogue states (1761) edition in-8°, but not clear from transactions data whether STN traded only in this edition. Capucins (les) sans barbe  ",Belles-Lettres
"Certain Dutch editions Contes (les) des génies, ou les charmantes leçons d'Horam, fils d'Asmar, ouvrage traduit du persan en anglois par Sir Charles Morell  226; Contes des Geniere; Contes des Genies; Contes des génies; Contes du genies The Tales of the Genii: or, The delightful lessons of Horam, the son on Asmar English French M.-M. Rey NA Amsterdam Amsterdam 1786 NA NA NA 3 NA 12 NA NA Attribution - Fauche-Borel Catalogue (1787) information. Contes (les) des génies  ",Belles-Lettres
"Certain Dutch editions Camille, ou Lettres de deux filles de ce siècle, traduites de l'anglois sur les originaux 143; Camille NA NA French J.-E. Dufour et P. Roux NA Maestricht Maestricht 1786 NA NA NA 4 NA 12 NA NA Attribution - sourced from Dufour and Roux in 1787, Fauche-Borel Catalogue (1787) information. Camille, ou Lettres de deux filles de ce siècle  ",Belles-Lettres
"Certain Place of publication unknown Correspondance d'Eulalie, ou Tableau du libertinage de Paris 1646; 243; Correspondance d'Eulalie NA NA French Norse ? London ? 1785 NA NA NA 2 NA 8 NA NA Attribution - Fauche-Borel Catalogue (1787) information, although almost certainly a false Neuchâtel imprint after transactions data. Correspondance d'Eulalie  ",Belles-Lettres
"Certain Place of publication unknown Confessions du comte de C***, avec l'histoire de ses voyages en Russie, Turquie, Italie et dans les pyramides d'Égypte Confession du comte de C** NA NA French Cailleau NA Cairo; Paris ? 1787 NA II, 172 174 1 NA 12 NA NA Attribution - only extant edition located in-12°, as indicated in MS1007. Confessions du comte de C***  ",Belles-Lettres
"Certain German editions Canot (le), ou Lettres de Mama Blergx Canot (le) NA NA French LeNoble de Kurzbeck NA Vienna Vienna 1782 NA 144 144 1 NA 8 NA NA Attribution - only extant edition located. Canot (le)  ",Belles-Lettres
"Pseudo French editions Daphnis et le Premier navigateur, poèmes de M. Gessner, traduits de l'allemand par M. Huber 265; Daphnie; Daphnie le premier navigateur [Various titles] German French NA NA Paris Paris 1768 NA NA NA 1 NA 12 NA NA Attribution - Fauche-Borel Catalogue (1787) information, although extant copies of this edition not located. Daphnis et le Premier navigateur  ",Belles-Lettres
"Pseudo Place of publication unknown Dangers (les) du monde: comédie en trois actes Danger (la) du monde NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, several produced. Also part of the 'Théatre à l'usage des jeunes personnes' and it is possible that copies traded were taken from sets of that work. Dangers (les) du monde  ",Belles-Lettres
Pseudo Place of publication unknown [Dictionnaire anglois] Dictionnaire anglois; Dictonnaire anglois NA NA French NA NA n.pl. ? NA NA NA NA 2 NA 8 NA NA Attribution - edition not identified. [Dictionnaire anglois]  ,Belles-Lettres
"Pseudo Place of publication unknown Dangers (les) d'un premier choix, ou Lettres de Laure à Émilie, par M. de La Dixmerie Danger d'un première choix; Dangers (les) d'un p? choix, ou lettre de Laure à Emlie NA NA French NA NA n.pl. ? NA NA NA NA 1 NA 12 NA NA Attribution - edition not identified. Extant editions located (La Haye and Paris, 1785) and (Paris, 1786), and STN could have traded in either or both. Dangers (les) d'un premier choix  ",Belles-Lettres
Certain International editions (non-Swiss) Diversités galantes et litteraires 343; Diversités galantes et litteraires NA NA French Dorez NA London; Paris London; Paris 1778 NA NA NA 1 2 12 NA NA Attribution - Fauche-Borel Catalogue (1787) information.   The author or editor of this work is unknown. Diversités galantes et litteraires  ,Belles-Lettres
"Certain Place of publication unknown Etrennes (les) du sage: Quatrains Etrennes du sage NA NA French NA NA Athéopolis ? NA NA 31 31 1 NA 8 NA NA Attribution - only extant edition located, sole copy located is held in Staatsbibliothek (Berlin).  Etrennes (les) du sage  ",Belles-Lettres
Certain International editions (non-Swiss) Entretiens (les) du Palais Royal 403; Entretiens du Palais Royale NA NA French Buisson NA Paris; Utrecht Paris; Utrecht 1787 NA NA NA 1 NA 12 NA B Attribution - Fauche-Borel Catalogue (1787) information. Entretiens (les) du Palais Royal  ,Belles-Lettres
"Pseudo Place of publication unknown Folette, ou l'Enfant gâté Enfant (l') gaté NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, several produced. Folette, ou l'Enfant gâté  ",Belles-Lettres
