full_book_title,stated_publication_places,number_of_volumes,parisian_keyword
"République (la) littéraire, ou Description allégorique et critique des sciences et des arts, ouvrage posthume de Dom Diego Saavedra Fajardo... traduit de l'espagnol, sur l'édition la plus correcte, publiée à Madrid en 1735, présenté au public par les soins et aux dépens du libraire",Lausanne,1,Belles-Lettres
"Nicolai Hieronymi Gundlingii jus naturae ae gentium, connexâ ratione novâ que methodo elaboratum et à praesumptis opinionibus aliis que ineptiis vacuum: editio nova auctior et emendatior",Geneva,1,Jurisprudence
Observations sur des matières de jurisprudence criminelle,Lausanne,1,Jurisprudence
"Systême social, ou Principes naturels de la morale et de la politique avec un examen de l'influence du gouvernement sur les moeurs",n.pl.,3,Science et Arts
"Lettres de Monsieur le Chevalier de Boufflers, pendant sa voyage en Suisse, à Madame sa mère",n.pl.,1,Histoire
"Prédicateur (la) évangélique, ou sermons pour tous les dimanches et les principales fêtes de l'année",Lausanne,5,Théologie
Eugénie: drame ,n.pl.,1,Belles-Lettres
[Cours de religion],n.pl.,1,Théologie
"Observations sur l'art de faire la guerre, suivant les maximes les plus grands generaux",n.pl.,1,Science et Arts
[Magasin de adollesçantes],n.pl.,1,Belles-Lettres
Considérations sur les causes de la grandeur des Romains et de leur décadence,Amsterdam,1,Histoire
"Sermons sur divers textes de l'Ecriture Sainte, par Mr. Amedée Lullin, pasteur et professeur en histoire ecclesiastique à Geneve",Geneva,2,Théologie
Chef (le) d'oeuvre d'un inconnu,n.pl.,2,Belles-Lettres
[Patriote françois],n.pl.,1,Undetermined
"Examen de la nouvelle histoire de Henri IV, de M. de Bury",Geneva,1,Histoire
"Histoire de la maison de Brunswick, par Mallet",Geneva,3,Histoire
Discours sur les moeurs,Lyon,1,Science et Arts
"Histoire politique du siècle, où se voit dévelopée la conduite de toutes les cours, d'un traité à l'autre, depuis la paix de Westphalie jusqu'à la dernière paix d'Aix la Chapelle inclusivement  ",n.pl.,1,Histoire
"Annales politiques de feu monsieur Charles Irénée Castel, abbé de St. Pierre, de l'Académie françoise",Geneva; Lyon,2,Histoire
Almanach de Neuchâtel,n.pl.,1,Histoire
Caractères (les),n.pl.,2,Science et Arts
"Justini Febronii... de Statu Ecclesiae et legitima potestate romani pontificis liber singularis, ad reuniendos dissidentes in religione christianos compositus",n.pl.,4,Histoire
"Réflexions sur l'économie politique, ouvrage traduit de l'italien",Lausanne,1,Science et Arts
"Américaines (les), ou La Preuve de la religion chrétienne par les lumières naturelles",Lyon,6,Belles-Lettres
"Regula cleri: ex sacris litteris sanctorum patrum monimentis, ecclesiastique sanctionibus excerpta",Lausanne,1,Théologie
"Médecine végétale, tirée uniquement des plantes usuelles, appliquées aux différentes maladies qui règnent dans les campagnes",Yverdon,1,Science et Arts
Histoire du Parlement de Paris,London,1,Histoire
"Abrégé historique de la vie de Marie-Thérèse, impératrice-reine de Hongrie, tiré de la Galerie universelle des hommes célèbres etc.",Lausanne,1,Histoire
Almanach de Cabinet,n.pl.,1,Histoire
Pour Raillerie,n.pl.,1,Science et Arts
"Conseils pour former une bibliothèque historique de la Suisse, par M. Haller",Berne,1,Belles-Lettres
Recueil de divers traités sur l'histoire naturelle de la terre et des fossiles,Avignon,1,Science et Arts
Contes moraux et nouvelles idylles de D… et Sal. Gessner,London,1,Belles-Lettres
"Supplément à la Bibliothèque de campagne, ou amusements de l'esprit et du coeur",Geneva,7,Belles-Lettres
"Instruction abregée sur la nature et l'usage de la Chaux, sur les Pierres à Chaux, sur les Tours à Chaux, et particulierement aux ou l'on employe la houille",Berne,1,Science et Arts
[Corpus juris civilis],n.pl.,2,Jurisprudence
"Jurisprudentia antiqua continens opuscula et dissertationes quibus leges antiquae praesertim mosaïcae, graecae et romanae illustrantur",Berne,2,Jurisprudence
Mémoires de M. l'abbé de Montgon,n.pl.,1,Histoire
"Opere posthume di Pietro Giannone, in difesa della sua storia civile del regno di Napoli",Lausanne,1,Histoire
"Principes de la grammaire, ou rudimens nouveaux de la langue latine, par le P. Godin",Bordeaux,1,Belles-Lettres
"Hugonis Grotii de Jure belli ac pacis libri tres, cum annotatis auctoris, nec non J. F. Gronovii notis et J. Barbeyracii animadversionibus, commentariis... Henr. l. b. de Cocceii... adjectis, insertis quoque observationibus Samuelis l. b. de Cocceii... Adduntur... Grotii dissertatio de mari libero ac libellus... de aequitate, indulgentia et facilitate ",Lausanne,5,Jurisprudence
Considerations sur les causes de l'ancienne foiblesse de l'Empire de Russie et de sa nouvelle puissance: avec un discours oratoire contenant l'eloge de Catherine II aujourd'hui régnante,Amsterdam,1,Histoire
"Bibliotheca botanica, qua scripta ad rem herbariam facientia a rerum initiis recensentur, auctore Alberto von Haller",Tiguri,2,Science et Arts
Mathurini Corderii Colloquia selecta,n.pl.,1,Belles-Lettres
Théisme (le): essai philosophique,London,2,Science et Arts
Histoire d'Emilie Montague,n.pl.,2,Belles-Lettres
Recherches philosophiques sur les preuves du christianisme,Geneva,1,Théologie
Paix (de la) perpétuelle,n.pl.,1,Science et Arts
Forme du gouvernement de Suède,n.pl.,1,Histoire
Fragmens de philosophie morale,n.pl.,1,Science et Arts
"Discours sur l'état actuel de la politique et de la science militaire en Europe: avec le plan d'un ouvrage intitulé ""La France politique et militaire""",Geneva,1,Science et Arts
Science (la) ou les droits et les devoirs de l'homme: Ouvrage en 4 parties. Contenant: La vie naturelle de l'homme. Sa vie agricole. Sa vie sociale. Sa vie politique,Lausanne,1,Jurisprudence
"Artis medicae principes, Hippocrates, Aretaeus, Alexander, Aurelianus, Celsus, Rhazis. Recensuit, prafatus est Albertus de Haller",Lausanne,11,Science et Arts
"Pensées générales sur le déisme, par Jean Alph. Rosset... Nouvelle édition, augmentée",Lausanne,1,Science et Arts
"Opera minora, emendata, aucta et renovata",Lausanne,3,Science et Arts
Disputationes ad morborum historiam et curationem facientes,Lausanne,7,Science et Arts
"Homélie du pasteur Bourn, prêchée à Londres, le jour de la Pentecôte",Geneva,1,Science et Arts
"Abrégé sur les sciences et sur les arts, par demandes et par réponses",n.pl.,1,Science et Arts
"Mentor (le) moderne, ou Instructions pour les garçons et pour ceux qui les élevent ",Paris,11,Histoire
Nouveau (le) Testament,n.pl.,1,Théologie
[Eléméns de mathématiques],n.pl.,1,Science et Arts
Réflexions d'un homme de bon sens sur les comètes & sur leur retour ou Préservatif contre la peur,n.pl.,1,Science et Arts
"Oraison funèbre de Charles-Emmanuel, roi de Sardaigne et duc de Savoie, prononcée, le 17 mars 1773, par M***, vicaire à la paroisse de S*** à Chambéry",Chambery,1,Théologie
Histoire des religieux de la Compagnie de Jesus,n.pl.,3,Histoire
Epistolae ab eruditis viris ad Alb. Hallerum scriptae,Berne,1,Belles-Lettres
Bacha dans son serrail,n.pl.,1,NA
"Brunus redivivus, ou traité des erreurs populaires, ouvrage critique, historique, et philosophique imité de Pomponace",n.pl.,1,NA
Examen impartial des principales religions du monde,n.pl.,1,NA
Histoire des diables modernes. Par Mr. A***,Cleves,1,Belles-Lettres
"Jeune (le) philosophe, ou Lettres de Florival et de Sophie",n.pl.,1,Belles-Lettres
Lettre sur la philosophie nouvelle et sur les principes de l'Essai de la philosophie,Paris,1,Science et Arts
"Manuel du Philosophe, ou dictionnaire des vertus ou des qualités intellectuelles de l'ame, dans lequel on en développer la connaissance, l'usage et l'alliance; ensemble la connaissance des sentiments ou impressions de l'ame, grands pour le Créateur et des sentiments ou impressions des Sens qui affectent l'ame, quoiqu'ils lui soient-étranger",Berlin,1,Science et Arts
"Monialisme, histoire galante, écrite par une ex-religieuse de l'abbaye où se sont passées les aventures..",Rome,1,Belles-Lettres
"Parnasse (le) libertin, ou recueil de poésies libres",n.pl.,1,Belles-Lettres
Pièces heureusement échappées de la France,London,1,Histoire
"Poésies gaillardes, galantes et amoureuses de ce temps",n.pl.,2,Belles-Lettres
"Principes (les) de la révolution justifiés dans un sermon prêché devant l'Université de Cambridge, le... 29 mai 1776",London,1,Science et Arts
"Recueil philosophique, ou mélange de pièces sur la religion et la morale, par différents auteurs",London,2,Science et Arts
"Soirees (les) de quelques religieuses, de l'abbaye de ***",Geneva,1,Belles-Lettres
Vie voluptueuse des capucins et des nones,n.pl.,1,Histoire
"Administration politique de Colbert: ouvrage qui par son érudition, ses principes économiques, calculs politiques &c. peut servir de repertoire universel des connoissances nécessaires à ses administrateurs",Amsterdam; Leipzig,1,Science et Arts
"Art (l') alimentaire, ou, Methode pour préparer les aliments les plus sains pour l'homme",Paris,1,Science et Arts
Abrégé de la grammaire française par Wailly,Paris,1,Belles-Lettres
"Anecdotes originales de Pierre le Grand recueillies de la conversation de diverses personnes de distinction de St-Pétersbourg et de Moscou, par M. de Staehlin... Ouvrage traduit de l'allemand",Strasbourg,1,Histoire
Abrégé élémentaire de l'histoire universelle,n.pl.,1,Histoire
Abrégé d'histoire naturelle pour l'instruction de la jeunesse. Imité de l'allemand de M. Raff,Strasbourg,2,Science et Arts
"Artillerie (l') nouvelle, ou Examen des changements faits dans l'artillerie française depuis 1765, par M***",Amsterdam,1,Science et Arts
Amusemens arithmétiques et algébriques de la campagne... par M. J. Luya,n.pl.,2,Science et Arts
"Aventures (les) galantes de quelques enfants de Loyola. Sur l'imprimé au Paraclet, 1782",Bruxelles,1,Belles-Lettres
"Annales de la vertu, ou Cours d'histoire à l'usage des jeunes personnes",n.pl.,3,Histoire
"Amusemens du beau-sexe, ou Nouvelles Historiques et avantures galantes, tragiques, et comiques",Amsterdam,8,Belles-Lettres
"A quoi sert un titre, si l'ouvrage est bon?",Paris,1,Belles-Lettres
Anti-Chartreux (l'): Poême Chrétien,n.pl.,1,Belles-Lettres
"Agar dans le desert, comédie",n.pl.,1,Belles-Lettres
"Amitié fraternelle, ou Le Triomphe des vertus",n.pl.,2,Belles-Lettres
Année galante ou Etrenne à l'amour. Contes! Enrichis de figures et d'ariettes,n.pl.,1,Belles-Lettres
Ami de l'adolescence,n.pl.,2,Belles-Lettres
"Arlequin à Genève: comédie en vers libres et en trois actes, par M. P. G. auteur du baquet magnétique",Lyon,1,Belles-Lettres
"Antonie, ou l'auteur de Caroline, suivie de plusieurs pieces intéressantes, traduites de l'allemand, par Madame la chanoinesse de P.",Lausanne; Paris,1,Belles-Lettres
"Amusemens physiques et différentes expériences divertissantes, composées et exécutées tant à Paris que dans les diverses cours de l'Europe par le sieur Joseph Pinetti",Lausanne,1,Science et Arts
Adieux de soeur Rose à son cloître,Vienna,1,Belles-Lettres
Amours (les) et les aventures du Lord Fox. Traduits de l'anglois par M***,Geneva,1,Histoire
Bagatelles morales,n.pl.,1,Belles-Lettres
Bibliothèque ou Choix des meilleurs romans anglois,Geneva,14,Belles-Lettres
[Bonnetre],n.pl.,1,Undetermined
Abrégé historique et politique de l'Italie,Yverdon,4,Histoire
[Belle (la) et la Bête],n.pl.,1,Belles-Lettres
Considérations sur les oeuvres de Dieu dans le règne de la nature et de la Providence pour tous les jours de l'année. Ouvrage traduit de l'allemand de M. C. C. Sturm,La Haye,3,Théologie
Critique de la théorie et pratique de M. Necker: dans l'administration des finances de la France,n.pl.,2,Science et Arts
"Confessions (les) de M. Emanuel Figaro, écrites par lui-même",n.pl.,1,Belles-Lettres
"Portefeuille (le) de madame Gourdan, dite la Comtesse, pour servir à l'histoire des moeurs du siècle et principalement de celles de Paris",n.pl.,1,Belles-Lettres
Contes nouveaux en prose,n.pl.,2,Belles-Lettres
"Correspondance du Lord G. Germain avec les généraux Clinton, Cornwallis et les amiraux dans la station de l'Amérique... Traduit de l'anglois sur les originaux",Berne,1,Histoire
"Capucins (les) sans barbe, histoire Napolitaine",n.pl.,1,Belles-Lettres
Cahiers de mathematique à l'usage de messieurs les officiers de l'Ecole royale d'artillerie de Strasbourg,Amsterdam,2,Science et Arts
[Carloine],n.pl.,2,Undetermined
"Contes (les) des génies, ou les charmantes leçons d'Horam, fils d'Asmar, ouvrage traduit du persan en anglois par Sir Charles Morell ",Amsterdam,3,Belles-Lettres
"Camille, ou Lettres de deux filles de ce siècle, traduites de l'anglois sur les originaux",Maestricht,4,Belles-Lettres
"Considérations sur l'ordre de Cincinnatus, ou Imitation d'un pamphlet anglo-américain: par le Cte de Mirabeau, suivies... d'une Lettre... du général Washington... et d'une Lettre de feu M. Turgot... au Dr Price sur les législations américaines",London,1,Science et Arts
"Code, ou Nouveau réglement sur les lieux de prostitution dans la ville de Paris",London,1,Jurisprudence
"Chymie expérimentale et raisonnée, par M. Baumé,..",Paris,3,Science et Arts
"Causes politiques secrètes, ou pensées philosophiques sur des événements passés depuis 1763 jusqu'à 1772. Suivies d'un projet de haut pouvoir conservateur... Ouvrage traduit de l'anglais sur la sixième éd",London,1,Histoire
Considerations sur l'admission des navires neutres aux colonies françoises de l'Amérique en tems de guerre. (Ouvrage écrit en 1759.),n.pl.,1,Science et Arts
"Les loix, us et coutumes de la souveraineté de Neuchâtel et Valangin par feu noble et vertueux Samuel Ostervald, président du Conseil d'Etat; d'après le manuscrit même de l'auteur ",Neuchâtel,1,Jurisprudence
"I catecumeni, lettera ad un teologo colla sua risposta",n.pl.,1,Théologie
"Correspondance d'Eulalie, ou Tableau du libertinage de Paris",London,2,Belles-Lettres
"Confessions du comte de C***, avec l'histoire de ses voyages en Russie, Turquie, Italie et dans les pyramides d'Égypte",Cairo; Paris,1,Belles-Lettres
"Canot (le), ou Lettres de Mama Blergx",Vienna,1,Belles-Lettres
"Discours et réflexions critiques sur l'histoire et le gouvernement de l'ancienne Rome, pour servir de supplément à l'Histoire romaine de MM. Rollin et Crevier",Paris,3,Histoire
"Daphnis et le Premier navigateur, poèmes de M. Gessner, traduits de l'allemand par M. Huber",Paris,1,Belles-Lettres
Dangers (les) du monde: comédie en trois actes,n.pl.,1,Belles-Lettres
Nouveaux dialogues entre quelques illustres morts modernes,Amsterdam,1,Histoire
[Dictionnaire anglois],n.pl.,2,Belles-Lettres
"Discours du Roi et de M. de Calonne prononcés a l'Assemblée des notables: tenue à Versailles, le 22 février 1787",Lausanne,1,Histoire
"Dangers (les) d'un premier choix, ou Lettres de Laure à Émilie, par M. de La Dixmerie",n.pl.,1,Belles-Lettres
Dictionnaire portatif de chirurgie,n.pl.,2,Science et Arts
Dialogues sur la religion naturelle,Edinburgh,1,Science et Arts
Dialogues socratiques d'instructions sur divers sujets de morale,n.pl.,1,Science et Arts
"Découverte (la) de l'Amérique: pour l'instruction et l'amusement des jeunes gens, par Mr. Campe; avec figures",En Suisse,3,Histoire
Dictionnaire philosophique portatif,Amsterdam,2,Science et Arts
Dictionnaire historique et géographique portatif de l'Italie,n.pl.,2,Histoire
"Description de trois machines physico-chimiques présentées à l'Académie royale des sciences de Turin, par le Mis de Brézé",Turin,1,Science et Arts
"Dictionnaire philosopho-théologique portatif: contenant l'accord de la véritable philosophie avec la saine théologie, & réfutation des faux principes établis dans les écrits de nos philosophes modernes. Avec des notes à la fin de l'ouvrage, analogues aux principaux articles de ce dictionnaire",Nismes,1,Théologie
"Dialogue entre Joseph II, Empereur des Romains, Giovanni Braschi, pape sous le nom de Pie VI, et le Comte de Lauraguais",Rome,1,Histoire
Diversités galantes et litteraires,London; Paris,1,Belles-Lettres
"Documens de l'Ecriture-sainte & des SS. Peres pour les personnes du sexe, où sont compris les documens des jeunes filles, des vierges et des veuves",Turin,2,Théologie
"Ecclésiastique (l') citoyen, ou lettres sur les moyens de rendre les personnes, les établissemens & les biens de l'Eglise encore plus utiles à l'etat & même à la religion ",n.pl.,1,Histoire
"Education morale, ou, Réponse à cette question proposée en 1765 par la Société des arts et sciences de Harlem: comment doit-on gouverner l'esprit et le coeur d'un enfant, pour le faire parvenir un jour à l'état d'hommes heureux et utile?",Geneva,1,Science et Arts
"Esquisse intéressant, du tableau fidèle des causes qui ont occasioné les révolutions actuelles de l'Amérique",Philadelphia,1,Histoire
Etrennes (les) du sage: Quatrains,Athéopolis,1,Belles-Lettres
Court examen de la thèse de Mr. l'abbé de Prades et observations sur son Apologie,Amsterdam,1,Théologie
"Ecole (l') de la vertu, ou lettres morales utiles à toutes personnes pour se conduire dans le monde, principalement à la jeunesse",Poitiers,1,Science et Arts
[Véritable (le) Enchiridion],n.pl.,1,Undetermined
"Etrennes d'un médecin, ouvrage où l'on donne les moyens sûrs de remédier promptement aux différens accidens qui menacent la vie",Nyon,1,Science et Arts
Exposition raisonnée des différentes méthodes d'administrer le mercure,n.pl.,1,Science et Arts
Esprit de Saurin: ouvrage utile à toutes les familles chrétiennes,Lausanne,2,Théologie
